feature,importance_mean,importance_std
days_past_due,0.37177943534834107,0.014131243208202998
no_missed_payments,0.1381167552839955,0.014366925001539294
 original_repayment_amount ,0.07478027115346081,0.005522475325812752
 original_funded_amount ,0.0744973411457068,0.005454591208187185
 total_collected_since_collection_case_created ,0.02934233605438925,0.004968208088065833
days_lastpay_to_close,0.017077657349427712,0.00386220791808074
has_demand_letter_sent_date,0.015228517722149105,0.00393054618071014
loan_contract_frequency,0.01362271956163591,0.0031334369853772267
collection_sub_status,0.01278204649933079,0.00128143642687743
days_funded_to_open,0.00991895476502298,0.00615689499125501
percent_paid,0.0067849573616731275,0.001492692863079246
sic_count,0.00622359794578109,0.00326500015195454
collection_case_owner,0.004654277186678835,0.0031945104129277686
pg_fico,0.00369001533233293,0.00403650840919998
can_tier,0.0022916893925762905,0.0007205812282021024
city_and_state,0.0018330098343702027,0.001665703244050667
legal_entity_type,0.001615219809556623,0.0009724536321666388
contract_type,0.0014232430601534007,0.0006767422353007122
collection_status,0.0011464250007052867,0.0008060013246788888
broker,0.00031804330829074965,0.004256493417878247
collectin_case_active,0.0,0.0
contract_number,0.0,0.0
has_collection_case_close_date,0.0,0.0
borrower,0.0,0.0
pg_real_estate,-7.634059447925168e-06,0.0017746325579463434
borrower_age,-0.00024701337036198145,0.004329847190821321
concurrent_contract_type,-0.0006529558560205318,0.0005090710284918581
